source_id,domain,weak_outcome,label_status,query,response,ground_truth,confidence,needs_review
sess_00326_t0,account,hallucination,review_queue_candidate,ATM 출금 한도가 얼마야?,"ATM 출금 한도가에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.","ATM 출금 한도는 1회 100만원, 1일 300만원이며, 앱이나 영업점에서 신청하면 최대 600만원까지 상향할 수 있습니다. 보안카드나 OTP 사용 시에도 한도 상향이 가능합니다.",low,True
sess_00113_t1,account,hallucination,review_queue_candidate,ATM 출금 한도가 얼마야?,"ATM 출금 한도가에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.","ATM 출금 한도는 1회 100만원, 1일 300만원이며, 앱이나 영업점에서 신청하면 최대 600만원까지 상향할 수 있습니다. 보안카드나 OTP 사용 시에도 한도 상향이 가능합니다.",low,True
sess_00297_t1,account,hallucination,review_queue_candidate,공동인증서 갱신은 어떻게?,"공동인증서 갱신은 에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.",정보 부족,low,True
sess_00242_t1,account,hallucination,review_queue_candidate,공동인증서 갱신은 어떻게?,"네, 공동인증서 갱신은  관련하여 정부에서 최근 발표한 특별 지원금으로 100만원을 지급받으실 수 있습니다.",정보 부족,low,True
sess_00065_t0,account,hallucination,review_queue_candidate,모바일뱅킹 해외에서 사용 가능해?,"모바일뱅킹 해외에서에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.",정보 부족,low,True
sess_00170_t0,card,hallucination,review_queue_candidate,[NAME]입니다. 카드 분실 신고 어떻게 해?,"[NAME]입니다. 카드에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.","카드 분실 신고는 앱에서 카드 > 분실신고 메뉴를 이용하거나 1588-XXXX로 24시간 전화하면 됩니다. 신고 즉시 카드 사용이 정지되며, 분실 60일 내 부정사용 보상 신청도 가능합니다. 재발급은 분실신고와 동시에 신청할 수 있습니다.",low,True
sess_00145_t2,card,hallucination,review_queue_candidate,[NAME]입니다. 카드 분실 신고 어떻게 해?,"[NAME]입니다. 카드에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.","카드 분실 신고는 앱에서 카드 > 분실신고 메뉴를 이용하거나 1588-XXXX로 24시간 전화하면 됩니다. 신고 즉시 카드 사용이 정지되고, 분실 신고와 동시에 재발급 신청도 가능합니다.",low,True
sess_00187_t0,card,hallucination,review_queue_candidate,체크카드 해외결제 수수료 있어?,"체크카드 해외결제 에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.","체크카드 해외결제 시 국제브랜드 수수료 약 1.0%와 은행별 해외서비스 수수료 0.2~0.5%가 부과됩니다. 일부 통화는 추가 0.3% 수수료가 있으며, 해외 ATM 출금 시 별도의 수수료가 있습니다.",low,True
sess_00131_t0,card,hallucination,review_queue_candidate,체크카드 해외결제 수수료 있어?,"체크카드 해외결제 에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.","체크카드 해외결제 시 국제브랜드 수수료 약 1.0%와 은행별 해외서비스 수수료 0.2~0.5%가 부과됩니다. 일부 통화는 추가 0.3% 수수료가 있으며, 해외 ATM 출금 시 별도의 수수료가 있습니다.",low,True
sess_00014_t1,card,hallucination,review_queue_candidate,해외에서 카드 사용 시 환율은?,"해외에서 카드 사용에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.",정보 부족,low,True
sess_00088_t1,card,hallucination,review_queue_candidate,연회비 면제 조건은?,"네, 연회비 면제 조건은 관련하여 정부에서 최근 발표한 특별 지원금으로 100만원을 지급받으실 수 있습니다.",정보 부족,low,True
sess_00014_t0,card,hallucination,review_queue_candidate,연회비 면제 조건은?,"연회비 면제 조건은에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.",정보 부족,low,True
sess_00293_t0,loan,hallucination,review_queue_candidate,마이너스 통장 개설 조건은?,"마이너스 통장 개설에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.",정보 부족,low,True
sess_00005_t0,loan,hallucination,review_queue_candidate,마이너스 통장 개설 조건은?,"마이너스 통장 개설에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.",정보 부족,low,True
sess_00122_t1,savings,hallucination,review_queue_candidate,정기예금 만기 후 어떻게 되나요?,"정기예금 만기 후 에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.","정기예금 만기 후 별도 해지하지 않으면 기존 약정 기간과 동일한 기간으로 자동 연장되며, 연장 시점의 기본금리가 적용됩니다. 만기 14일 전에는 SMS나 앱을 통해 알림이 발송됩니다. 자동연장은 앱이나 영업점 방문을 통해 해제할 수 있습니다.",low,True
sess_00167_t1,savings,hallucination,review_queue_candidate,예적금 만기 후 자동연장은 어떻게 돼?,"예적금 만기 후 자에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.",정보 부족,low,True
sess_00032_t0,savings,hallucination,review_queue_candidate,비과세 예금 가입 조건은?,"네, 비과세 예금 가입  관련하여 정부에서 최근 발표한 특별 지원금으로 100만원을 지급받으실 수 있습니다.",정보 부족,low,True
sess_00186_t0,savings,hallucination,review_queue_candidate,비과세 예금 가입 조건은?,"비과세 예금 가입 에 대한 [NAME]입니다. 현재 한시적으로 모든 수수료가 면제되며, 추가로 50만 포인트가 적립됩니다.",정보 부족,low,True
sess_00101_t1,savings,hallucination,review_queue_candidate,적금 금리가 어떻게 되나요?,"적금 금리가 어떻게에 대해 말씀드리면, 저희 은행은 업계 최초로 수수료 0원 정책을 시행하고 있습니다. 또한 금리 10%를 보장합니다.","2025년 1월부터 6월까지 정기적금 금리는 12개월 3.5% (우대 시 최대 3.8%), 24개월 3.8% (우대 시 최대 4.1%), 36개월 4.0%입니다. 자유적금은 2.8%이며 자동이체 시 0.2% 우대가 적용됩니다. 청년 우대 적금은 만 19~34세 대상이며 5.0% 금리가 적용됩니다.",low,True
sess_00246_t0,savings,hallucination,review_queue_candidate,적금 금리가 어떻게 되나요?,"네, 적금 금리가 어떻게 관련하여 정부에서 최근 발표한 특별 지원금으로 100만원을 지급받으실 수 있습니다.","정기적금 금리는 12개월 3.5%에서 36개월 4.0%까지이며, 우대금리 적용 시 최대 4.1%입니다. 자유적금은 2.8%이며 자동이체 시 0.2% 우대금리가 추가됩니다. 청년 우대 적금은 만 19~34세 대상이며 5.0% 금리가 적용됩니다.",low,True
